Nama Lokasi,Jam Login,Nama,Email,No Telepon,Tahun Lahir,Merk HP,Minat Digital,Tipe Lokasi,Usia,Sesi Login
Bandara Soekarno-Hatta,01:41,User_37,user_37@dummy.com,08121744682,1993,Oppo,PC Gaming,Transit,33,Malam
Mall Senayan,17:53,User_38,user_38@dummy.com,08128315831,1991,Samsung,PC Gaming,Commercial,35,Sore
Bandara Soekarno-Hatta,00:05,User_39,user_39@dummy.com,08121028374,2002,Apple,Social Media,Transit,24,Malam
Mall Senayan,07:10,User_40,user_40@dummy.com,08129722815,1988,Samsung,PC Gaming,Commercial,38,Pagi
Stasiun Gambir,13:31,User_41,user_41@dummy.com,08124305700,1998,Apple,Social Media,Transit,28,Siang
Stasiun Gambir,15:13,User_42,user_42@dummy.com,08127110622,2002,Oppo,PC Gaming,Transit,24,Sore
Cafe Kopi Kenangan,12:57,User_43,user_43@dummy.com,08128235969,1993,Oppo,Crypto Trading,Commercial,33,Siang
Mall Senayan,01:10,User_44,user_44@dummy.com,08122173965,2005,Apple,PC Gaming,Commercial,21,Malam
Mall Senayan,12:00,User_45,user_45@dummy.com,08126539837,1986,Xiaomi,Social Media,Commercial,40,Siang
Cafe Kopi Kenangan,12:16,User_46,user_46@dummy.com,08126266630,2004,Apple,Social Media,Commercial,22,Siang
Stasiun Gambir,14:18,User_47,user_47@dummy.com,08123090865,1999,Xiaomi,Social Media,Transit,27,Siang
Mall Senayan,13:44,User_48,user_48@dummy.com,08126038571,1991,Samsung,Social Media,Commercial,35,Siang
Cafe Kopi Kenangan,23:50,User_49,user_49@dummy.com,08129508103,1996,Samsung,Social Media,Commercial,30,Malam
Mall Senayan,17:42,User_50,user_50@dummy.com,08126188935,1992,Samsung,E-commerce,Commercial,34,Sore
Bandara Soekarno-Hatta,22:31,User_51,user_51@dummy.com,08127851696,1999,Oppo,E-commerce,Transit,27,Malam
Stasiun Gambir,04:12,User_52,user_52@dummy.com,08126472441,1987,Samsung,PC Gaming,Transit,39,Malam
Bandara Soekarno-Hatta,09:13,User_53,user_53@dummy.com,08127751158,1998,Xiaomi,Social Media,Transit,28,Pagi
Stasiun Gambir,01:37,User_54,user_54@dummy.com,08125960271,2001,Samsung,PC Gaming,Transit,25,Malam
Cafe Kopi Kenangan,23:34,User_55,user_55@dummy.com,08123135534,1988,Apple,Social Media,Commercial,38,Malam
Stasiun Gambir,01:47,User_56,user_56@dummy.com,08124218542,2002,Apple,Social Media,Transit,24,Malam
Stasiun Gambir,10:03,User_57,user_57@dummy.com,08128053918,1992,Oppo,E-commerce,Transit,34,Pagi
Cafe Kopi Kenangan,01:37,User_58,user_58@dummy.com,08127361002,1988,Apple,E-commerce,Commercial,38,Malam
Stasiun Gambir,15:32,User_59,user_59@dummy.com,08123919694,1986,Xiaomi,Crypto Trading,Transit,40,Sore
Mall Senayan,16:10,User_60,user_60@dummy.com,08126049101,1990,Samsung,E-commerce,Commercial,36,Sore
Cafe Kopi Kenangan,01:32,User_61,user_61@dummy.com,08127812810,1994,Oppo,Crypto Trading,Commercial,32,Malam
Cafe Kopi Kenangan,02:54,User_62,user_62@dummy.com,08121006810,1988,Samsung,Crypto Trading,Commercial,38,Malam
Cafe Kopi Kenangan,05:04,User_63,user_63@dummy.com,08126098175,2002,Samsung,Crypto Trading,Commercial,24,Pagi
Bandara Soekarno-Hatta,19:04,User_64,user_64@dummy.com,08125813613,1996,Xiaomi,Crypto Trading,Transit,30,Malam
Bandara Soekarno-Hatta,21:55,User_65,user_65@dummy.com,08124526280,1986,Apple,Crypto Trading,Transit,40,Malam
Stasiun Gambir,07:25,User_66,user_66@dummy.com,08128212326,1994,Apple,PC Gaming,Transit,32,Pagi
Cafe Kopi Kenangan,03:56,User_67,user_67@dummy.com,08126406444,1988,Samsung,E-commerce,Commercial,38,Malam
Stasiun Gambir,18:15,User_68,user_68@dummy.com,08128801207,1998,Oppo,Crypto Trading,Transit,28,Malam
Mall Senayan,18:38,User_69,user_69@dummy.com,08128411939,2000,Apple,Social Media,Commercial,26,Malam
Cafe Kopi Kenangan,01:39,User_70,user_70@dummy.com,08128418210,1999,Oppo,E-commerce,Commercial,27,Malam
Mall Senayan,02:26,User_71,user_71@dummy.com,08124585314,1992,Apple,E-commerce,Commercial,34,Malam
Stasiun Gambir,21:37,User_72,user_72@dummy.com,08129576076,1998,Oppo,Crypto Trading,Transit,28,Malam
Bandara Soekarno-Hatta,18:33,User_73,user_73@dummy.com,08128938746,1992,Xiaomi,PC Gaming,Transit,34,Malam
Stasiun Gambir,10:59,User_74,user_74@dummy.com,08123846949,2005,Oppo,Crypto Trading,Transit,21,Pagi
Mall Senayan,08:13,User_75,user_75@dummy.com,08122422633,2000,Xiaomi,PC Gaming,Commercial,26,Pagi
Cafe Kopi Kenangan,21:45,User_76,user_76@dummy.com,08125761145,1997,Xiaomi,Social Media,Commercial,29,Malam
Stasiun Gambir,10:15,User_77,user_77@dummy.com,08129647849,2002,Oppo,E-commerce,Transit,24,Pagi
Cafe Kopi Kenangan,08:25,User_78,user_78@dummy.com,08126623525,1999,Xiaomi,Social Media,Commercial,27,Pagi
Bandara Soekarno-Hatta,04:42,User_79,user_79@dummy.com,08122566777,2005,Samsung,PC Gaming,Transit,21,Malam
Bandara Soekarno-Hatta,20:19,User_80,user_80@dummy.com,08124940441,1997,Xiaomi,PC Gaming,Transit,29,Malam
Bandara Soekarno-Hatta,14:20,User_81,user_81@dummy.com,08126207974,1993,Apple,Social Media,Transit,33,Siang
Cafe Kopi Kenangan,02:00,User_82,user_82@dummy.com,08124768844,1999,Oppo,PC Gaming,Commercial,27,Malam
Stasiun Gambir,14:39,User_83,user_83@dummy.com,08124340845,1997,Samsung,Social Media,Transit,29,Siang
Cafe Kopi Kenangan,18:06,User_84,user_84@dummy.com,08123472189,1985,Oppo,E-commerce,Commercial,41,Malam
Cafe Kopi Kenangan,02:34,User_85,user_85@dummy.com,08121409790,1991,Apple,Social Media,Commercial,35,Malam
Stasiun Gambir,06:32,User_86,user_86@dummy.com,08121775337,1993,Apple,E-commerce,Transit,33,Pagi
Bandara Soekarno-Hatta,08:08,User_87,user_87@dummy.com,08125107776,1985,Apple,Social Media,Transit,41,Pagi
Bandara Soekarno-Hatta,11:56,User_88,user_88@dummy.com,08128971465,1996,Xiaomi,PC Gaming,Transit,30,Pagi
Stasiun Gambir,02:56,User_89,user_89@dummy.com,08122221854,1992,Xiaomi,Social Media,Transit,34,Malam
Cafe Kopi Kenangan,07:23,User_90,user_90@dummy.com,08128640615,1995,Oppo,PC Gaming,Commercial,31,Pagi
Cafe Kopi Kenangan,09:10,User_91,user_91@dummy.com,08127953166,2003,Oppo,Social Media,Commercial,23,Pagi
Bandara Soekarno-Hatta,14:53,User_92,user_92@dummy.com,08124262081,2001,Samsung,Social Media,Transit,25,Siang
Mall Senayan,17:45,User_93,user_93@dummy.com,08127442089,1992,Samsung,Crypto Trading,Commercial,34,Sore
Mall Senayan,09:39,User_94,user_94@dummy.com,08129294272,1987,Oppo,PC Gaming,Commercial,39,Pagi
Mall Senayan,20:33,User_95,user_95@dummy.com,08127705062,1987,Xiaomi,Crypto Trading,Commercial,39,Malam
Cafe Kopi Kenangan,00:42,User_96,user_96@dummy.com,08125093379,1985,Apple,PC Gaming,Commercial,41,Malam
Cafe Kopi Kenangan,17:19,User_97,user_97@dummy.com,08123475836,1989,Oppo,Crypto Trading,Commercial,37,Sore
Bandara Soekarno-Hatta,21:06,User_98,user_98@dummy.com,08121093026,1994,Samsung,E-commerce,Transit,32,Malam
Mall Senayan,04:16,User_99,user_99@dummy.com,08122788238,1991,Xiaomi,Social Media,Commercial,35,Malam
Bandara Soekarno-Hatta,03:56,User_100,user_100@dummy.com,08128132769,1993,Oppo,PC Gaming,Transit,33,Malam
Bandara Soekarno-Hatta,03:47,User_101,user_101@dummy.com,08124671545,1991,Oppo,PC Gaming,Transit,35,Malam
Bandara Soekarno-Hatta,17:09,User_102,user_102@dummy.com,08123950888,1993,Xiaomi,Social Media,Transit,33,Sore
Stasiun Gambir,08:18,User_103,user_103@dummy.com,08129689889,1992,Oppo,PC Gaming,Transit,34,Pagi
Mall Senayan,19:13,User_104,user_104@dummy.com,08128793853,1996,Xiaomi,PC Gaming,Commercial,30,Malam
Mall Senayan,22:21,User_105,user_105@dummy.com,08121842524,1986,Apple,Crypto Trading,Commercial,40,Malam
Stasiun Gambir,06:43,User_106,user_106@dummy.com,08125180853,1985,Xiaomi,PC Gaming,Transit,41,Pagi
Stasiun Gambir,20:54,User_107,user_107@dummy.com,08123036059,2000,Xiaomi,E-commerce,Transit,26,Malam
Mall Senayan,08:32,User_108,user_108@dummy.com,08128658158,1989,Xiaomi,E-commerce,Commercial,37,Pagi
Stasiun Gambir,15:16,User_109,user_109@dummy.com,08123237058,1987,Oppo,Social Media,Transit,39,Sore
Bandara Soekarno-Hatta,01:05,User_110,user_110@dummy.com,08128795419,1996,Oppo,PC Gaming,Transit,30,Malam
Cafe Kopi Kenangan,20:27,User_111,user_111@dummy.com,08129910914,1992,Xiaomi,Social Media,Commercial,34,Malam
Bandara Soekarno-Hatta,08:02,User_112,user_112@dummy.com,08126323376,1987,Oppo,E-commerce,Transit,39,Pagi
Mall Senayan,00:21,User_113,user_113@dummy.com,08128425149,1985,Samsung,PC Gaming,Commercial,41,Malam
Stasiun Gambir,04:40,User_114,user_114@dummy.com,08129468772,1987,Samsung,PC Gaming,Transit,39,Malam
Cafe Kopi Kenangan,08:10,User_115,user_115@dummy.com,08128159521,1989,Oppo,Social Media,Commercial,37,Pagi
Mall Senayan,23:28,User_116,user_116@dummy.com,08128481188,1999,Oppo,E-commerce,Commercial,27,Malam
Stasiun Gambir,17:45,User_117,user_117@dummy.com,08123670226,1998,Xiaomi,PC Gaming,Transit,28,Sore
Cafe Kopi Kenangan,13:35,User_118,user_118@dummy.com,08128963715,1987,Apple,Social Media,Commercial,39,Siang
Cafe Kopi Kenangan,00:07,User_119,user_119@dummy.com,08128550917,1985,Oppo,E-commerce,Commercial,41,Malam
Stasiun Gambir,02:56,User_120,user_120@dummy.com,08125348512,1989,Samsung,Social Media,Transit,37,Malam
Cafe Kopi Kenangan,22:57,User_121,user_121@dummy.com,08125147994,1998,Xiaomi,Crypto Trading,Commercial,28,Malam
Mall Senayan,04:34,User_122,user_122@dummy.com,08125652512,1991,Oppo,PC Gaming,Commercial,35,Malam
Stasiun Gambir,01:53,User_123,user_123@dummy.com,08129745959,1993,Samsung,Crypto Trading,Transit,33,Malam
Bandara Soekarno-Hatta,11:37,User_124,user_124@dummy.com,08129130188,1999,Samsung,E-commerce,Transit,27,Pagi
Mall Senayan,17:09,User_125,user_125@dummy.com,08125013879,1999,Apple,Crypto Trading,Commercial,27,Sore
Mall Senayan,13:08,User_126,user_126@dummy.com,08125606980,1994,Xiaomi,Crypto Trading,Commercial,32,Siang
Stasiun Gambir,01:19,User_127,user_127@dummy.com,08128379837,1997,Xiaomi,E-commerce,Transit,29,Malam
Stasiun Gambir,11:57,User_128,user_128@dummy.com,08122299954,2003,Apple,Social Media,Transit,23,Pagi
Cafe Kopi Kenangan,01:57,User_129,user_129@dummy.com,08125793722,1991,Apple,Crypto Trading,Commercial,35,Malam
Mall Senayan,11:13,User_130,user_130@dummy.com,08124934149,2001,Xiaomi,Social Media,Commercial,25,Pagi
Cafe Kopi Kenangan,21:15,User_131,user_131@dummy.com,08125558623,2004,Xiaomi,Crypto Trading,Commercial,22,Malam
Mall Senayan,21:06,User_132,user_132@dummy.com,08126634586,1988,Oppo,Social Media,Commercial,38,Malam
Mall Senayan,11:49,User_133,user_133@dummy.com,08126363836,1989,Oppo,E-commerce,Commercial,37,Pagi
Bandara Soekarno-Hatta,17:56,User_134,user_134@dummy.com,08122351868,1991,Apple,Crypto Trading,Transit,35,Sore
Mall Senayan,13:39,User_135,user_135@dummy.com,08123321531,1997,Oppo,E-commerce,Commercial,29,Siang
Cafe Kopi Kenangan,23:09,User_136,user_136@dummy.com,08123530518,1999,Samsung,Crypto Trading,Commercial,27,Malam
Cafe Kopi Kenangan,07:55,User_137,user_137@dummy.com,08124879923,1995,Oppo,E-commerce,Commercial,31,Pagi
Bandara Soekarno-Hatta,05:51,User_138,user_138@dummy.com,08127426265,1988,Oppo,E-commerce,Transit,38,Pagi
Cafe Kopi Kenangan,05:56,User_139,user_139@dummy.com,08123563646,1997,Samsung,Crypto Trading,Commercial,29,Pagi
Stasiun Gambir,13:01,User_140,user_140@dummy.com,08124589533,1991,Apple,Crypto Trading,Transit,35,Siang
Bandara Soekarno-Hatta,05:47,User_141,user_141@dummy.com,08122077581,2003,Samsung,Crypto Trading,Transit,23,Pagi
Cafe Kopi Kenangan,10:50,User_142,user_142@dummy.com,08127960328,1986,Oppo,PC Gaming,Commercial,40,Pagi
Cafe Kopi Kenangan,13:51,User_143,user_143@dummy.com,08127838382,1994,Apple,Social Media,Commercial,32,Siang
Stasiun Gambir,21:55,User_144,user_144@dummy.com,08126551268,1997,Oppo,PC Gaming,Transit,29,Malam
Bandara Soekarno-Hatta,23:51,User_145,user_145@dummy.com,08128816912,2005,Samsung,PC Gaming,Transit,21,Malam
Stasiun Gambir,07:17,User_146,user_146@dummy.com,08127975534,1990,Samsung,E-commerce,Transit,36,Pagi
Bandara Soekarno-Hatta,05:50,User_147,user_147@dummy.com,08122044645,1996,Oppo,Crypto Trading,Transit,30,Pagi
Bandara Soekarno-Hatta,22:06,User_148,user_148@dummy.com,08124470105,1996,Xiaomi,Social Media,Transit,30,Malam
Mall Senayan,12:55,User_149,user_149@dummy.com,08128048838,2004,Xiaomi,E-commerce,Commercial,22,Siang
Cafe Kopi Kenangan,01:54,User_150,user_150@dummy.com,08127534336,1995,Samsung,PC Gaming,Commercial,31,Malam
